aangenaam	pleased (to meet you)
aardig	kind, nice, friendly other
belangrijk	important
best	best
blij	happy
de auto	the car
de baan	the job
de betekenis	the meaning
de broer	the brother
de buren	the neighbors
de collega	the colleague, co-worker
de cursus	the course
de dag	the day
de fiets	the bicycle
de hond	the dog
de jongen	the boy
de kat	the cat
de maand	the month
de man	the man
de meneer	the Mr.
de mevrouw	the Ms., Mrs.
de slaapkamer	the bedroom
de tuin	the garden
de vriend	the friend, boyfriend
de vrouw	the woman
de weinig	little, few
dik	fat
doei	bye
doen	to do
dom	stupid
Duitsland	Germany
dun	skinny
erg	very
gaan	to go
good day	goedendag
grappig	funny
groot	big
hallo	hello
hebben	to have
heel	very
helpen	to help
het document	the document
het formulier	the form
het gesprek	the conversation
het gezin	the family
het huis	the house
het jaar	the year
het meisje	the girl
het woord	the word
heten	to be called, to be named
hoeveel	how many
hoi	hi, hello
hoofdstuk	chapter
intelligent	intelligent
Italië	Italy
jij	you, singular, informal
jouw	your
jullie	you, plural/your
kennen	to know
klaar	ready
klein	small, little
komen	to come
kort	short
lang	tall
leren	to learn
leren kennen	to get to know, to meet
leuk	nice
leuk je te ontmoeten lief	nice to meet you
maar	but
met	with
mijn	my
Nederland	The Netherlands
Nederlands	Dutch
nieuw	new
nodig hebben	to need
ook	also
oud	old
over	about
praten	to talk
samen	together
slim	clever
terug	back
tot morgen	see you tomorrow
tot snel	see you soon
tot straks	see you later
tot ziens	goodbye
tweehonderdvijfentwintig	225
tweehonderdzesentwintig	226
u	you, singular/plural, formal
uit	from
vandaag	today
veel	many, much
vinden	to find
voor	for
waar	where
wij	we
wonen	to live
zij	she, they
zijn	to be
